NAME,z,,,
SDSS J013735.46-004723.4,4.031000137,,,
SDSS J030949.23-004913.9,4.039500237,,,
SDSS J235634.69-004503.7,4.045499802,,,
SDSS J235833.12+003848.3,4.081600189,,,
SDSS J022353.06+002522.2,4.090600014,,,
SDSS J030340.00+010557.1,4.115200043,,,
SDSS J030614.41+003306.6,4.118199825,,,
SDSS J030707.45-001601.4,4.13740015,,,
SDSS J012405.70-004407.8,4.147900105,,,
SDSS J012642.90+000238.9,4.164000034,,,
SDSS J021215.98+003621.2,4.173399925,,,
SDSS J021355.23-005415.1,4.209700108,,,
SDSS J021617.18-011046.8,4.304699898,,,
SDSS J230952.29-003138.9,4.638100147,,,
SDSS J000749.16+004119.5,4.661699772,,,
SDSS J234645.57-005859.0,4.832699776,,,
